DC,100,128,-60,SFProText-Semibold
DD,100,129,-60,SFProText-Semibold
DE,100,115,-60,SFProText-Semibold
DF,100,114,-60,SFProText-Semibold
DG,100,130,-60,SFProText-Semibold
DH,100,129,-60,SFProText-Semibold
DI,100,82,-60,SFProText-Semibold
DJ,100,110,-60,SFProText-Semibold
DK,100,127,-60,SFProText-Semibold
DL,100,114,-60,SFProText-Semibold
DM,100,141,-60,SFProText-Semibold
DN,100,128,-60,SFProText-Semibold
DO,100,133,-60,SFProText-Semibold
DP,100,121,-60,SFProText-Semibold
DQ,100,133,-60,SFProText-Semibold
DR,100,124,-60,SFProText-Semibold
DS,100,121,-60,SFProText-Semibold
DT,100,118,-60,SFProText-Semibold
DU,100,127,-60,SFProText-Semibold
DV,100,125,-60,SFProText-Semibold
DW,100,153,-60,SFProText-Semibold
DX,100,124,-60,SFProText-Semibold
DY,100,122,-60,SFProText-Semibold
DZ,100,118,-60,SFProText-Semibold
Da,100,111,-60,SFProText-Semibold
Db,100,120,-60,SFProText-Semibold
Dc,100,114,-60,SFProText-Semibold
Dd,100,116,-60,SFProText-Semibold
De,100,115,-60,SFProText-Semibold
Df,100,96,-60,SFProText-Semibold
Dg,100,116,-60,SFProText-Semibold
Dh,100,115,-60,SFProText-Semibold
Di,100,81,-60,SFProText-Semibold
Dj,100,81,-60,SFProText-Semibold
Dk,100,117,-60,SFProText-Semibold
Dl,100,81,-60,SFProText-Semibold
Dm,100,145,-60,SFProText-Semibold
Dn,100,115,-60,SFProText-Semibold
Do,100,117,-60,SFProText-Semibold
Dp,100,119,-60,SFProText-Semibold
Dq,100,117,-60,SFProText-Semibold
Dr,100,100,-60,SFProText-Semibold
Ds,100,111,-60,SFProText-Semibold
Dt,100,95,-60,SFProText-Semibold
Du,100,114,-60,SFProText-Semibold
Dv,100,114,-60,SFProText-Semibold
Dw,100,139,-60,SFProText-Semibold
Dx,100,112,-60,SFProText-Semibold
Dy,100,115,-60,SFProText-Semibold
Dz,100,110,-60,SFProText-Semibold
EA,100,115,-60,SFProText-Semibold
EB,100,111,-60,SFProText-Semibold
EC,100,115,-60,SFProText-Semibold
ED,100,116,-60,SFProText-Semibold
EE,100,102,-60,SFProText-Semibold
EF,100,101,-60,SFProText-Semibold
EG,100,117,-60,SFProText-Semibold
EH,100,116,-60,SFProText-Semibold
EI,100,69,-60,SFProText-Semibold
EJ,100,97,-60,SFProText-Semibold
EK,100,114,-60,SFProText-Semibold
EL,100,101,-60,SFProText-Semibold
EM,100,128,-60,SFProText-Semibold
EN,100,115,-60,SFProText-Semibold
EO,100,120,-60,SFProText-Semibold
EP,100,108,-60,SFProText-Semibold
EQ,100,120,-60,SFProText-Semibold
ER,100,111,-60,SFProText-Semibold
ES,100,108,-60,SFProText-Semibold
ET,100,108,-60,SFProText-Semibold
EU,100,114,-60,SFProText-Semibold
EV,100,114,-60,SFProText-Semibold
EW,100,143,-60,SFProText-Semibold
EX,100,114,-60,SFProText-Semibold
EY,100,113,-60,SFProText-Semibold
EZ,100,108,-60,SFProText-Semibold
Ea,100,98,-60,SFProText-Semibold
Eb,100,107,-60,SFProText-Semibold
Ec,100,101,-60,SFProText-Semibold
Ed,100,103,-60,SFProText-Semibold
Ee,100,102,-60,SFProText-Semibold
Ef,100,83,-60,SFProText-Semibold
Eg,100,103,-60,SFProText-Semibold
Eh,100,102,-60,SFProText-Semibold
Ei,100,68,-60,SFProText-Semibold
Ej,100,68,-60,SFProText-Semibold
Ek,100,104,-60,SFProText-Semibold
El,100,68,-60,SFProText-Semibold
Em,100,132,-60,SFProText-Semibold
En,100,102,-60,SFProText-Semibold
Eo,100,104,-60,SFProText-Semibold
Ep,100,106,-60,SFProText-Semibold
Eq,100,104,-60,SFProText-Semibold
Er,100,87,-60,SFProText-Semibold
Es,100,98,-60,SFProText-Semibold
Et,100,82,-60,SFProText-Semibold
Eu,100,101,-60,SFProText-Semibold
Ev,100,102,-60,SFProText-Semibold
Ew,100,126,-60,SFProText-Semibold
Ex,100,100,-60,SFProText-Semibold
Ey,100,102,-60,SFProText-Semibold
Ez,100,97,-60,SFProText-Semibold
FA,100,109,-60,SFProText-Semibold
FB,100,108,-60,SFProText-Semibold
FC,100,113,-60,SFProText-Semibold
FD,100,114,-60,SFProText-Semibold
FE,100,100,-60,SFProText-Semibold
FF,100,99,-60,SFProText-Semibold
FG,100,115,-60,SFProText-Semibold
FH,100,114,-60,SFProText-Semibold
FI,100,67,-60,SFProText-Semibold
FJ,100,92,-60,SFProText-Semibold
