,First,Second,Fontsize,Tracking,Distance,
,m,z,66,-28,39.0,
,z,w,64,12,39.0,
,w,d,58,-20,39.0,
,m,z,62,-12,39.0,
,m,z,66,-32,39.0,
,w,z,64,28,39.0,
,m,z,66,-20,39.0,
,z,w,64,8,39.0,
,z,m,60,28,39.0,
,z,b,72,28,39.0,
,z,m,60,16,39.0,
,m,z,60,16,39.0,
,z,m,62,12,39.0,
,z,m,62,16,39.0,
,z,m,62,8,39.0,
,m,z,60,12,39.0,
,m,z,60,8,39.0,
,d,z,72,20,38.5,
,g,z,72,20,38.5,
,z,p,72,20,38.5,
,q,z,72,20,38.5,
,z,m,58,24,38.5,
,w,z,62,32,38.5,
,w,z,66,0,38.5,
,z,m,58,32,38.5,
,m,z,58,32,38.5,
,w,z,68,-4,38.5,
,h,z,72,36,38.5,
,n,z,72,36,38.5,
,z,m,58,36,38.5,
,g,z,70,36,38.5,
,f,t,72,-40,38.5,
,w,z,62,36,38.5,
,w,z,66,-4,38.5,
,m,z,58,20,38.5,
,g,z,72,24,38.5,
,h,z,72,40,38.5,
,z,n,72,40,38.5,
,z,o,72,40,38.5,
,z,m,56,40,38.5,
,w,z,62,40,38.5,
,z,m,58,40,38.5,
,z,w,68,-40,38.5,
,z,w,66,-28,38.5,
,z,w,66,-24,38.5,
,z,p,72,4,38.5,
,z,w,66,-32,38.5,
,w,z,66,12,38.5,
,g,z,72,28,38.5,
,z,p,72,28,38.5,
,z,p,72,16,38.5,
,w,z,68,-12,38.5,
,m,z,64,-20,38.5,
,w,z,66,8,38.5,
,z,w,62,12,38.5,
,z,w,62,16,38.5,
,z,w,62,8,38.5,
,m,z,64,-8,38.5,
,w,z,68,-8,38.5,
,m,z,64,-24,38.5,
,z,p,72,12,38.5,
,q,z,72,12,38.5,
,w,z,68,-16,38.5,
,m,z,58,28,38.5,
,g,z,70,28,38.5,
,z,w,64,-16,38.0,
,z,m,60,4,38.0,
,m,z,60,4,38.0,
,z,b,70,32,38.0,
,d,z,70,32,38.0,
,z,p,70,32,38.0,
,q,z,70,32,38.0,
,z,w,64,-4,38.0,
,z,g,72,36,38.0,
,z,h,72,36,38.0,
,z,u,72,36,38.0,
,u,z,72,36,38.0,
,z,k,72,32,38.0,
,u,z,72,32,38.0,
,z,w,60,32,38.0,
,z,m,62,0,38.0,
,d,z,70,36,38.0,
,q,z,70,36,38.0,
,z,m,60,0,38.0,
,m,z,60,0,38.0,
,z,b,70,20,38.0,
,z,w,60,24,38.0,
,z,w,64,-12,38.0,
,z,b,72,24,38.0,
,q,z,72,24,38.0,
,u,z,72,24,38.0,
,z,b,68,40,38.0,
,z,p,68,40,38.0,
,z,m,62,-4,38.0,
,w,d,58,-28,38.0,
,m,z,62,-24,38.0,
,z,k,72,40,38.0,
,p,z,72,40,38.0,
,z,u,72,40,38.0,
,z,w,60,40,38.0,
,w,z,60,40,38.0,
,z,b,70,40,38.0,
,w,z,64,20,38.0,
,z,b,68,36,38.0,
,m,z,60,-4,38.0,
,z,m,62,-20,38.0,
,m,z,62,-20,38.0,
,z,b,72,8,38.0,
,w,z,64,12,38.0,
,m,z,60,-8,38.0,
,w,d,58,-36,38.0,
,z,m,62,-16,38.0,
,m,z,62,-16,38.0,
,z,m,62,-8,38.0,
,m,z,62,-28,38.0,
,w,z,64,16,38.0,
,w,z,64,8,38.0,
,z,w,60,28,38.0,
,z,n,72,28,38.0,
,z,b,72,16,38.0,
,d,z,72,16,38.0,
,z,p,70,16,38.0,
,m,z,66,-40,38.0,
,z,m,60,12,38.0,
,z,w,64,-8,38.0,
,d,z,72,12,38.0,
,z,b,70,28,38.0,
,d,z,70,28,38.0,
,z,p,70,28,38.0,
,q,z,70,28,38.0,
,z,m,60,8,38.0,
,w,z,68,-24,37.5,
,m,z,58,24,37.5,
,g,z,70,24,37.5,
,w,z,62,24,37.5,
,g,z,70,32,37.5,
,z,m,56,36,37.5,
,m,z,56,36,37.5,
,z,w,62,4,37.5,
,f,t,64,-28,37.5,
,z,m,64,-28,37.5,
,z,n,72,36,37.5,
,z,o,72,36,37.5,
,z,h,72,32,37.5,
,h,z,72,32,37.5,
,z,n,72,32,37.5,
,n,z,72,32,37.5,
,z,o,72,32,37.5,
,z,m,56,32,37.5,
,z,w,62,0,37.5,
,h,z,70,36,37.5,
